date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:07	20336/20336	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:03%20GMT	http://tabi.pl/aktualne-oferty/oferty-najmu-lokali-mieszkalnych/mieszkanie-62-m2-3-pokoje-inwestycja-pilsudskiego-13/mieszkanie-615-m2-inwestycja-pilsudskiego-13-211/pilsudskiego-13/0,-4f,1	tabi.pl/aktualne-oferty/oferty-najmu-lokali-mieszkalnych/mieszkanie-62-m2-3-pokoje-inwestycja-pilsudskiego-13/mieszkanie-615-m2-inwestycja-pilsudskiego-13-211/pilsudskiego-13/0,-4f,1.html	(from http://tabi.pl/aktualne-oferty/oferty-najmu-lokali-mieszkalnych/mieszkanie-62-m2-3-pokoje-inwestycja-pilsudskiego-13/mieszkanie-615-m2-inwestycja-pilsudskiego-13-211/0,-78,1,180)
22:23:21	63533/63533	---M--	200	added ('OK')	image/jpeg	etag:%22f82d-48a29f421f140%22	http://tabi.pl/site_media/storage/images/2010-06/lokal_211.jpg	tabi.pl/site_media/storage/images/2010-06/lokal_211.jpg	(from http://tabi.pl/aktualne-oferty/oferty-najmu-lokali-mieszkalnych/mieszkanie-62-m2-3-pokoje-inwestycja-pilsudskiego-13/mieszkanie-615-m2-inwestycja-pilsudskiego-13-211/0,-78,1,180)
22:23:28	24617/24617	---M--	200	added ('OK')	image/jpeg	etag:%226029-48a2a41cc2500%22	http://tabi.pl/site_media/storage/images/2010-06/lokal_211_boks272294.jpg	tabi.pl/site_media/storage/images/2010-06/lokal_211_boks272294.jpg	(from http://tabi.pl/aktualne-oferty/oferty-najmu-lokali-mieszkalnych/mieszkanie-62-m2-3-pokoje-inwestycja-pilsudskiego-13/mieszkanie-615-m2-inwestycja-pilsudskiego-13-211/0,-78,1,180)
22:23:31	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:28%20GMT	http://tabi.pl/jagiellonska-11b/warunki-najmu/legionowo/0,-4s,1	tabi.pl/jagiellonska-11b/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/jagiellonska-11b/warunki-najmu/0,-3d,1)
22:23:35	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:31%20GMT	http://tabi.pl/pilsudskiego-13/warunki-najmu/legionowo/0,-4s,1	tabi.pl/pilsudskiego-13/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/pilsudskiego-13/warunki-najmu/0,-3d,1)
22:23:38	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:35%20GMT	http://tabi.pl/rynek-14/warunki-najmu/legionowo/0,-4s,1	tabi.pl/rynek-14/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/rynek-14/warunki-najmu/0,-3d,1)
22:23:43	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:38%20GMT	http://tabi.pl/sienkiewicza-10/warunki-najmu/legionowo/0,-4s,1	tabi.pl/sienkiewicza-10/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/sienkiewicza-10/warunki-najmu/0,-3d,1)
22:23:47	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:43%20GMT	http://tabi.pl/sienkiewicza-13/warunki-najmu/legionowo/0,-4s,1	tabi.pl/sienkiewicza-13/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/sienkiewicza-13/warunki-najmu/0,-3d,1)
22:23:50	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:47%20GMT	http://tabi.pl/nasze-inwestycje/pilsudskiego-13/pilsudskiego-13/warunki-najmu/legionowo/0,-4s,1	tabi.pl/nasze-inwestycje/pilsudskiego-13/pilsudskiego-13/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/nasze-inwestycje/pilsudskiego-13/pilsudskiego-13/warunki-najmu/0,-3d,1)
22:23:53	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:50%20GMT	http://tabi.pl/nasze-inwestycje/sienkiewicza-10/sienkiewicza-10/warunki-najmu/legionowo/0,-4s,1	tabi.pl/nasze-inwestycje/sienkiewicza-10/sienkiewicza-10/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/nasze-inwestycje/sienkiewicza-10/sienkiewicza-10/warunki-najmu/0,-3d,1)
22:23:59	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:53%20GMT	http://tabi.pl/nasze-inwestycje/rynek-14/rynek-14/warunki-najmu/legionowo/0,-4s,1	tabi.pl/nasze-inwestycje/rynek-14/rynek-14/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/nasze-inwestycje/rynek-14/rynek-14/warunki-najmu/0,-3d,1)
22:24:05	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:23:59%20GMT	http://tabi.pl/nasze-inwestycje/jagiellonska-11b/jagiellonska-11b/warunki-najmu/legionowo/0,-4s,1	tabi.pl/nasze-inwestycje/jagiellonska-11b/jagiellonska-11b/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/nasze-inwestycje/jagiellonska-11b/jagiellonska-11b/warunki-najmu/0,-3d,1)
22:24:08	20045/20045	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2022:24:05%20GMT	http://tabi.pl/nasze-inwestycje/sienkiewicza-13/sienkiewicza-13/warunki-najmu/legionowo/0,-4s,1	tabi.pl/nasze-inwestycje/sienkiewicza-13/sienkiewicza-13/warunki-najmu/legionowo/0,-4s,1.html	(from http://tabi.pl/nasze-inwestycje/sienkiewicza-13/sienkiewicza-13/warunki-najmu/0,-3d,1)
